,MLR_ALL,MLR_Ridge,MLR_Lasso,MLR_ElasticNet
827,3.0,3.0,3.0,3.0
91,2.0,2.0,2.0,2.0
738,3.0,3.0,3.0,3.0
314,1.0,1.0,2.0,2.0
411,2.0,2.0,2.0,2.0
1173,3.0,3.0,3.0,3.0
989,4.0,4.0,4.0,4.0
494,2.0,2.0,2.0,2.0
412,2.0,2.0,2.0,1.0
606,4.0,4.0,4.0,4.0
597,4.0,4.0,4.0,4.0
309,2.0,2.0,2.0,2.0
41,1.0,1.0,1.0,1.0
1136,3.0,3.0,3.0,3.0
732,4.0,4.0,4.0,3.0
572,3.0,3.0,3.0,3.0
1286,,,,1.0
1138,3.0,3.0,3.0,3.0
1142,3.0,3.0,3.0,3.0
560,3.0,3.0,3.0,3.0
335,2.0,2.0,2.0,3.0
1012,3.0,3.0,3.0,4.0
803,4.0,4.0,4.0,4.0
1409,3.0,3.0,3.0,3.0
691,3.0,3.0,3.0,3.0
710,3.0,3.0,3.0,3.0
172,1.0,1.0,1.0,1.0
1113,4.0,4.0,4.0,4.0
1285,1.0,1.0,1.0,1.0
1079,4.0,4.0,4.0,4.0
133,2.0,2.0,2.0,2.0
243,3.0,3.0,3.0,3.0
594,3.0,3.0,3.0,3.0
30,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0
395,2.0,2.0,2.0,2.0
728,3.0,3.0,3.0,3.0
