,MLR_ALL,MLR_Ridge,MLR_Lasso,MLR_ElasticNet
709,3.0,3.0,3.0,3.0
1407,3.0,3.0,3.0,3.0
1020,3.0,3.0,3.0,4.0
108,2.0,2.0,2.0,2.0
646,4.0,4.0,4.0,4.0
1276,1.0,1.0,1.0,1.0
586,4.0,4.0,4.0,4.0
456,2.0,2.0,2.0,2.0
1232,3.0,3.0,2.0,2.0
1028,3.0,3.0,3.0,4.0
676,3.0,3.0,3.0,3.0
152,2.0,2.0,2.0,2.0
584,3.0,3.0,3.0,3.0
1010,3.0,3.0,3.0,4.0
102,1.0,1.0,1.0,1.0
1348,2.0,2.0,2.0,2.0
1181,3.0,3.0,3.0,3.0
311,2.0,2.0,2.0,2.0
665,4.0,4.0,4.0,4.0
1391,3.0,3.0,3.0,3.0
1243,3.0,3.0,3.0,3.0
790,4.0,4.0,4.0,4.0
579,3.0,3.0,3.0,3.0
946,4.0,4.0,4.0,4.0
270,3.0,3.0,2.0,2.0
1241,3.0,3.0,3.0,3.0
139,2.0,2.0,2.0,2.0
685,2.0,2.0,2.0,2.0
415,2.0,2.0,2.0,1.0
67,2.0,2.0,1.0,1.0
520,2.0,2.0,2.0,2.0
350,2.0,2.0,2.0,2.0
570,3.0,3.0,3.0,3.0
1014,3.0,3.0,3.0,4.0
934,4.0,4.0,4.0,4.0
925,4.0,4.0,4.0,4.0
1115,4.0,4.0,4.0,4.0
564,3.0,3.0,3.0,3.0
844,3.0,3.0,3.0,3.0
1046,3.0,3.0,3.0,3.0
1133,3.0,3.0,3.0,2.0
429,2.0,2.0,2.0,2.0
1119,4.0,4.0,3.0,3.0
258,3.0,3.0,3.0,3.0
680,2.0,2.0,2.0,2.0
131,2.0,2.0,2.0,2.0
1301,,,,
743,4.0,4.0,4.0,3.0
914,4.0,4.0,4.0,3.0
773,4.0,4.0,4.0,4.0
238,2.0,2.0,2.0,2.0
587,4.0,4.0,4.0,4.0
409,2.0,2.0,2.0,2.0
1222,3.0,3.0,3.0,3.0
304,2.0,2.0,2.0,2.0
843,3.0,3.0,3.0,3.0
515,2.0,2.0,2.0,2.0
1126,4.0,4.0,4.0,4.0
888,3.0,3.0,3.0,3.0
183,1.0,1.0,1.0,1.0
913,4.0,4.0,4.0,4.0
1078,4.0,4.0,4.0,4.0
1130,3.0,3.0,3.0,3.0
378,2.0,2.0,2.0,2.0
1052,4.0,4.0,4.0,4.0
420,2.0,2.0,2.0,2.0
248,3.0,3.0,3.0,3.0
605,4.0,4.0,4.0,4.0
553,3.0,3.0,3.0,3.0
1281,1.0,1.0,1.0,1.0
765,4.0,4.0,4.0,4.0
1339,3.0,3.0,3.0,3.0
72,2.0,2.0,1.0,1.0
1278,1.0,1.0,1.0,1.0
1394,3.0,3.0,3.0,3.0
588,4.0,4.0,4.0,4.0
681,2.0,2.0,2.0,2.0
661,4.0,4.0,4.0,4.0
1104,4.0,4.0,4.0,4.0
400,2.0,2.0,2.0,2.0
1192,3.0,3.0,3.0,3.0
704,3.0,3.0,3.0,3.0
1429,3.0,3.0,3.0,3.0
256,2.0,2.0,2.0,2.0
1421,3.0,3.0,3.0,3.0
541,2.0,2.0,2.0,2.0
1355,2.0,2.0,2.0,2.0
626,4.0,4.0,4.0,4.0
1269,2.0,2.0,2.0,2.0
1218,3.0,3.0,3.0,3.0
453,2.0,2.0,2.0,2.0
1321,1.0,1.0,1.0,1.0
117,2.0,2.0,2.0,2.0
1086,4.0,4.0,4.0,4.0
1058,4.0,4.0,4.0,4.0
1328,2.0,2.0,2.0,2.0
1176,3.0,3.0,3.0,3.0
234,2.0,2.0,2.0,2.0
804,4.0,4.0,4.0,4.0
839,2.0,2.0,3.0,3.0
742,4.0,4.0,4.0,4.0
878,3.0,3.0,3.0,3.0
1425,3.0,3.0,3.0,3.0
124,2.0,2.0,2.0,2.0
695,3.0,3.0,3.0,3.0
915,4.0,4.0,3.0,3.0
1071,4.0,4.0,4.0,4.0
1382,2.0,2.0,2.0,2.0
62,1.0,1.0,1.0,1.0
154,2.0,2.0,2.0,2.0
970,4.0,4.0,4.0,4.0
1123,4.0,4.0,4.0,4.0
317,1.0,1.0,2.0,2.0
1073,4.0,4.0,4.0,4.0
9,1.0,1.0,1.0,1.0
887,3.0,3.0,3.0,3.0
359,2.0,2.0,3.0,3.0
534,2.0,2.0,2.0,2.0
343,2.0,2.0,2.0,2.0
610,4.0,4.0,4.0,4.0
842,3.0,3.0,3.0,3.0
377,2.0,2.0,2.0,2.0
1333,2.0,2.0,2.0,2.0
1150,3.0,3.0,3.0,3.0
945,4.0,4.0,4.0,4.0
982,4.0,4.0,4.0,4.0
1311,,,,
802,4.0,4.0,4.0,4.0
1228,3.0,3.0,3.0,2.0
1220,3.0,3.0,3.0,3.0
381,2.0,2.0,2.0,2.0
251,3.0,3.0,3.0,3.0
1183,3.0,3.0,3.0,3.0
519,2.0,2.0,2.0,2.0
1297,,,,1.0
764,4.0,4.0,4.0,4.0
675,3.0,3.0,3.0,3.0
1152,3.0,3.0,3.0,3.0
16,1.0,1.0,1.0,1.0
875,3.0,3.0,3.0,3.0
797,4.0,4.0,3.0,3.0
1049,3.0,3.0,3.0,4.0
96,2.0,2.0,2.0,2.0
1316,,,1.0,1.0
310,2.0,2.0,2.0,2.0
334,3.0,3.0,3.0,3.0
698,3.0,3.0,3.0,3.0
1384,2.0,2.0,2.0,2.0
762,4.0,4.0,4.0,4.0
431,2.0,2.0,2.0,2.0
816,4.0,4.0,4.0,4.0
483,2.0,2.0,1.0,1.0
911,4.0,4.0,4.0,4.0
775,4.0,4.0,4.0,4.0
97,2.0,2.0,2.0,2.0
563,3.0,3.0,3.0,3.0
962,4.0,4.0,4.0,3.0
740,4.0,4.0,4.0,4.0
208,1.0,1.0,1.0,1.0
792,4.0,4.0,4.0,4.0
113,2.0,2.0,2.0,2.0
851,3.0,3.0,3.0,3.0
27,1.0,1.0,1.0,1.0
1405,3.0,3.0,3.0,3.0
467,2.0,2.0,2.0,2.0
474,1.0,1.0,1.0,1.0
1309,,,,
106,2.0,2.0,2.0,2.0
186,2.0,2.0,2.0,2.0
1360,2.0,2.0,2.0,2.0
442,2.0,2.0,2.0,1.0
38,,,,
644,4.0,4.0,4.0,4.0
1245,3.0,3.0,3.0,3.0
990,4.0,4.0,4.0,4.0
148,2.0,2.0,2.0,1.0
1174,3.0,3.0,3.0,3.0
319,1.0,1.0,2.0,2.0
960,4.0,4.0,4.0,4.0
525,2.0,2.0,2.0,2.0
877,3.0,3.0,3.0,3.0
778,4.0,4.0,4.0,4.0
963,4.0,4.0,4.0,3.0
895,3.0,3.0,3.0,3.0
908,4.0,4.0,4.0,4.0
1114,4.0,4.0,4.0,4.0
390,2.0,2.0,2.0,2.0
1349,2.0,2.0,2.0,2.0
222,1.0,1.0,2.0,2.0
920,4.0,4.0,4.0,4.0
966,4.0,4.0,3.0,3.0
1045,3.0,3.0,3.0,3.0
236,2.0,2.0,2.0,2.0
1006,4.0,4.0,4.0,4.0
210,1.0,1.0,1.0,2.0
1344,2.0,2.0,2.0,2.0
690,3.0,3.0,3.0,3.0
1345,2.0,2.0,2.0,2.0
374,2.0,2.0,2.0,2.0
18,1.0,1.0,1.0,1.0
240,3.0,3.0,3.0,3.0
940,4.0,4.0,4.0,4.0
942,4.0,4.0,4.0,4.0
523,2.0,2.0,2.0,2.0
509,2.0,2.0,2.0,2.0
753,4.0,4.0,4.0,4.0
94,2.0,2.0,2.0,2.0
455,2.0,2.0,2.0,2.0
1188,3.0,3.0,3.0,3.0
566,2.0,2.0,2.0,2.0
3,1.0,1.0,1.0,1.0
323,2.0,2.0,2.0,2.0
1303,,,,
231,1.0,1.0,2.0,2.0
262,3.0,3.0,3.0,3.0
798,4.0,4.0,3.0,3.0
342,2.0,2.0,2.0,2.0
153,2.0,2.0,2.0,2.0
643,4.0,4.0,4.0,4.0
447,2.0,2.0,2.0,1.0
882,3.0,3.0,3.0,3.0
6,1.0,1.0,1.0,1.0
668,4.0,4.0,4.0,4.0
366,2.0,2.0,2.0,2.0
443,2.0,2.0,2.0,1.0
354,2.0,2.0,2.0,3.0
224,2.0,2.0,2.0,2.0
479,1.0,1.0,1.0,1.0
1383,2.0,2.0,2.0,2.0
1213,3.0,3.0,3.0,3.0
376,2.0,2.0,2.0,2.0
849,3.0,3.0,3.0,3.0
24,1.0,1.0,1.0,1.0
1235,3.0,3.0,3.0,3.0
284,2.0,2.0,2.0,2.0
967,3.0,3.0,3.0,3.0
1319,1.0,1.0,1.0,1.0
713,3.0,3.0,3.0,3.0
490,2.0,2.0,2.0,2.0
507,2.0,2.0,2.0,2.0
1089,4.0,4.0,4.0,4.0
733,3.0,3.0,3.0,3.0
1157,3.0,3.0,3.0,2.0
881,3.0,3.0,3.0,3.0
1330,2.0,2.0,2.0,2.0
1144,3.0,3.0,3.0,3.0
688,2.0,2.0,2.0,2.0
904,3.0,3.0,3.0,3.0
336,2.0,2.0,2.0,3.0
953,4.0,4.0,4.0,4.0
1211,3.0,3.0,3.0,3.0
