,MLR_ALL,MLR_Ridge,MLR_Lasso,MLR_ElasticNet
913,Mediocre,Mediocre,Mediocre,Mediocre
1078,Poor,Poor,Poor,Poor
1130,Mediocre,Mediocre,Mediocre,Mediocre
378,Acceptable,Acceptable,Acceptable,Mediocre
1052,Poor,Poor,Poor,Poor
420,Acceptable,Acceptable,Acceptable,Acceptable
248,Mediocre,Mediocre,Mediocre,Mediocre
605,Poor,Poor,Poor,Poor
553,Acceptable,Acceptable,Acceptable,Acceptable
1281,Good,Good,Good,Good
765,Poor,Poor,Poor,Poor
1339,Acceptable,Acceptable,Acceptable,Acceptable
72,Good,Good,Good,Good
1278,Good,Good,Good,Good
1394,Mediocre,Mediocre,Mediocre,Mediocre
588,Poor,Poor,Poor,Poor
681,Mediocre,Mediocre,Mediocre,Mediocre
661,Poor,Poor,Poor,Poor
1104,Poor,Poor,Poor,Poor
400,Acceptable,Acceptable,Acceptable,Acceptable
1192,Mediocre,Mediocre,Mediocre,Mediocre
704,Mediocre,Mediocre,Mediocre,Mediocre
1429,Mediocre,Mediocre,Mediocre,Mediocre
256,Mediocre,Mediocre,Mediocre,Mediocre
1421,Mediocre,Mediocre,Mediocre,Mediocre
541,Acceptable,Acceptable,Acceptable,Acceptable
1355,Mediocre,Mediocre,Mediocre,Acceptable
626,Poor,Poor,Poor,Poor
1269,Acceptable,Acceptable,Acceptable,Acceptable
1218,Mediocre,Mediocre,Mediocre,Mediocre
453,Acceptable,Acceptable,Acceptable,Acceptable
1321,Good,Good,Good,Good
117,Acceptable,Acceptable,Acceptable,Acceptable
1086,Poor,Poor,Poor,Poor
1058,Mediocre,Mediocre,Mediocre,Mediocre
1328,Acceptable,Acceptable,Acceptable,Acceptable
1176,Mediocre,Mediocre,Mediocre,Mediocre
234,Acceptable,Acceptable,Acceptable,Acceptable
804,Poor,Poor,Mediocre,Mediocre
839,Mediocre,Mediocre,Mediocre,Mediocre
742,Mediocre,Mediocre,Mediocre,Mediocre
878,Mediocre,Mediocre,Mediocre,Mediocre
1425,Mediocre,Mediocre,Mediocre,Mediocre
124,Good,Good,Good,Good
695,Mediocre,Mediocre,Mediocre,Mediocre
915,Mediocre,Mediocre,Mediocre,Mediocre
1071,Poor,Poor,Poor,Poor
1382,Acceptable,Acceptable,Acceptable,Acceptable
62,Good,Good,Good,Good
154,Acceptable,Acceptable,Acceptable,Acceptable
970,Poor,Poor,Poor,Poor
1123,Poor,Poor,Poor,Poor
317,Acceptable,Acceptable,Acceptable,Acceptable
1073,Poor,Poor,Poor,Poor
9,Good,Good,Good,Good
887,Mediocre,Mediocre,Mediocre,Mediocre
359,Acceptable,Acceptable,Acceptable,Mediocre
534,Acceptable,Acceptable,Acceptable,Acceptable
343,Acceptable,Acceptable,Acceptable,Acceptable
610,Poor,Poor,Poor,Poor
842,Mediocre,Mediocre,Mediocre,Mediocre
377,Acceptable,Acceptable,Acceptable,Acceptable
1333,Acceptable,Acceptable,Acceptable,Acceptable
1150,Mediocre,Mediocre,Mediocre,Mediocre
945,Poor,Poor,Poor,Poor
982,Poor,Poor,Poor,Poor
1311,,,,
802,Poor,Poor,Poor,Poor
1228,Acceptable,Acceptable,Acceptable,Mediocre
1220,Mediocre,Mediocre,Mediocre,Mediocre
381,Acceptable,Acceptable,Acceptable,Acceptable
251,Mediocre,Mediocre,Mediocre,Mediocre
1183,Mediocre,Mediocre,Mediocre,Mediocre
519,Mediocre,Mediocre,Acceptable,Acceptable
1297,,,,Good
764,Poor,Poor,Poor,Poor
675,Mediocre,Mediocre,Mediocre,Mediocre
1152,Mediocre,Mediocre,Mediocre,Mediocre
16,Good,Good,Good,Good
875,Mediocre,Mediocre,Mediocre,Mediocre
797,Mediocre,Mediocre,Mediocre,Mediocre
1049,Poor,Poor,Poor,Poor
96,Good,Good,Good,Good
1316,,,Good,Good
310,Acceptable,Acceptable,Acceptable,Acceptable
334,Acceptable,Acceptable,Acceptable,Acceptable
698,Mediocre,Mediocre,Mediocre,Mediocre
1384,Acceptable,Acceptable,Acceptable,Acceptable
762,Mediocre,Mediocre,Mediocre,Mediocre
431,Acceptable,Acceptable,Acceptable,Good
816,Poor,Poor,Poor,Poor
483,Acceptable,Acceptable,Acceptable,Acceptable
911,Mediocre,Mediocre,Mediocre,Mediocre
775,Poor,Poor,Poor,Poor
97,Good,Good,Good,Good
563,Mediocre,Mediocre,Mediocre,Mediocre
962,Poor,Poor,Poor,Poor
740,Mediocre,Mediocre,Mediocre,Mediocre
208,Acceptable,Acceptable,Acceptable,Good
792,Mediocre,Mediocre,Mediocre,Mediocre
113,Good,Good,Good,Good
851,Mediocre,Mediocre,Mediocre,Mediocre
27,Good,Good,Good,Good
1405,Mediocre,Mediocre,Mediocre,Mediocre
467,Acceptable,Acceptable,Acceptable,Acceptable
474,Good,Good,Good,Good
1309,,,,
106,Acceptable,Acceptable,Acceptable,Acceptable
186,Acceptable,Acceptable,Acceptable,Acceptable
1360,Mediocre,Mediocre,Mediocre,Acceptable
442,Acceptable,Acceptable,Acceptable,Acceptable
38,Good,Good,Good,Good
644,Poor,Poor,Poor,Poor
1245,Mediocre,Mediocre,Mediocre,Mediocre
990,Poor,Poor,Poor,Poor
148,Good,Good,Good,Good
1174,Mediocre,Mediocre,Mediocre,Mediocre
319,Acceptable,Acceptable,Acceptable,Acceptable
960,Poor,Poor,Poor,Poor
525,Mediocre,Mediocre,Mediocre,Acceptable
877,Mediocre,Mediocre,Mediocre,Mediocre
778,Poor,Poor,Poor,Poor
963,Poor,Poor,Poor,Poor
895,Mediocre,Mediocre,Mediocre,Mediocre
908,Poor,Poor,Poor,Poor
1114,Poor,Poor,Poor,Poor
390,Acceptable,Acceptable,Acceptable,Acceptable
1349,Acceptable,Acceptable,Acceptable,Acceptable
222,Acceptable,Acceptable,Acceptable,Acceptable
920,Poor,Poor,Poor,Poor
966,Poor,Poor,Poor,Poor
1045,Mediocre,Mediocre,Mediocre,Poor
236,Acceptable,Acceptable,Acceptable,Acceptable
1006,Mediocre,Mediocre,Mediocre,Mediocre
210,Acceptable,Acceptable,Acceptable,Acceptable
1344,Acceptable,Acceptable,Acceptable,Acceptable
690,Mediocre,Mediocre,Mediocre,Mediocre
1345,Acceptable,Acceptable,Acceptable,Acceptable
374,Acceptable,Acceptable,Acceptable,Acceptable
18,Good,Good,Good,Good
240,Acceptable,Acceptable,Acceptable,Acceptable
940,Poor,Poor,Poor,Poor
942,Poor,Poor,Poor,Poor
523,Mediocre,Mediocre,Mediocre,Acceptable
509,Acceptable,Acceptable,Acceptable,Acceptable
753,Poor,Poor,Poor,Poor
94,Acceptable,Acceptable,Good,Good
455,Acceptable,Acceptable,Acceptable,Acceptable
1188,Mediocre,Mediocre,Mediocre,Mediocre
566,Mediocre,Mediocre,Mediocre,Mediocre
3,Good,Good,Good,Good
323,Acceptable,Acceptable,Acceptable,Acceptable
1303,,,,
231,Acceptable,Acceptable,Acceptable,Acceptable
262,Mediocre,Mediocre,Mediocre,Mediocre
798,Mediocre,Mediocre,Mediocre,Mediocre
342,Acceptable,Acceptable,Acceptable,Acceptable
153,Acceptable,Acceptable,Acceptable,Acceptable
643,Poor,Poor,Poor,Poor
447,Acceptable,Acceptable,Acceptable,Acceptable
882,Mediocre,Mediocre,Mediocre,Mediocre
6,Good,Good,Good,Good
668,Poor,Poor,Poor,Poor
366,Acceptable,Acceptable,Acceptable,Acceptable
443,Acceptable,Acceptable,Acceptable,Acceptable
354,Acceptable,Acceptable,Acceptable,Mediocre
224,Acceptable,Acceptable,Acceptable,Acceptable
479,Good,Good,Good,Acceptable
1383,Acceptable,Acceptable,Acceptable,Acceptable
1213,Mediocre,Mediocre,Mediocre,Mediocre
376,Acceptable,Acceptable,Acceptable,Acceptable
849,Mediocre,Mediocre,Mediocre,Mediocre
24,Good,Good,Good,Good
1235,Mediocre,Mediocre,Mediocre,Mediocre
284,Acceptable,Acceptable,Acceptable,Acceptable
967,Poor,Poor,Poor,Poor
1319,Good,Good,Good,Good
713,Mediocre,Mediocre,Mediocre,Mediocre
490,Acceptable,Acceptable,Acceptable,Acceptable
507,Acceptable,Acceptable,Acceptable,Acceptable
1089,Poor,Poor,Poor,Poor
733,Mediocre,Mediocre,Mediocre,Mediocre
1157,Mediocre,Mediocre,Mediocre,Mediocre
881,Mediocre,Mediocre,Mediocre,Mediocre
1330,Acceptable,Acceptable,Acceptable,Acceptable
1144,Mediocre,Mediocre,Mediocre,Mediocre
688,Mediocre,Mediocre,Mediocre,Mediocre
904,Poor,Poor,Poor,Poor
336,Acceptable,Acceptable,Acceptable,Acceptable
953,Poor,Poor,Poor,Poor
1211,Mediocre,Mediocre,Mediocre,Mediocre
827,Mediocre,Mediocre,Mediocre,Mediocre
91,Acceptable,Acceptable,Acceptable,Good
738,Mediocre,Mediocre,Mediocre,Mediocre
314,Acceptable,Acceptable,Acceptable,Acceptable
411,Acceptable,Acceptable,Acceptable,Acceptable
1173,Mediocre,Mediocre,Mediocre,Mediocre
989,Poor,Poor,Poor,Poor
494,Acceptable,Acceptable,Acceptable,Acceptable
412,Acceptable,Acceptable,Good,Good
606,Poor,Poor,Poor,Poor
597,Poor,Poor,Poor,Poor
309,Acceptable,Acceptable,Acceptable,Acceptable
41,Good,Good,Good,Good
1136,Mediocre,Mediocre,Mediocre,Mediocre
732,Poor,Poor,Mediocre,Mediocre
572,Mediocre,Mediocre,Mediocre,Mediocre
1286,,,,Good
1138,Mediocre,Mediocre,Mediocre,Mediocre
1142,Mediocre,Mediocre,Mediocre,Mediocre
560,Mediocre,Mediocre,Mediocre,Mediocre
335,Acceptable,Acceptable,Acceptable,Acceptable
1012,Mediocre,Mediocre,Mediocre,Mediocre
803,Poor,Poor,Poor,Mediocre
1409,Mediocre,Mediocre,Mediocre,Mediocre
691,Mediocre,Mediocre,Mediocre,Mediocre
710,Mediocre,Mediocre,Mediocre,Mediocre
172,Good,Good,Good,Good
1113,Poor,Poor,Poor,Poor
1285,,,Good,Good
1079,Poor,Poor,Poor,Poor
133,Acceptable,Acceptable,Acceptable,Acceptable
243,Acceptable,Acceptable,Acceptable,Acceptable
594,Poor,Poor,Poor,Poor
30,Good,Good,Good,Good
14,Good,Good,Good,Good
395,Acceptable,Acceptable,Acceptable,Acceptable
728,Mediocre,Mediocre,Mediocre,Mediocre
